game_number,Date,Team,Opponent,Name,Projected_PTS,Actual_PTS,Projected_REB,Actual_REB,Projected_AST,Actual_AST,Projected_TOV,Actual_TOV,Projected_STL,Actual_STL,Projected_BLK,Actual_BLK,Projected_FG3A,Actual_FG3A,Projected_PF,Actual_PF,Projected_FGM,Actual_FGM,Projected_FGA,Actual_FGA,Projected_OREB,Actual_OREB,Projected_FTA,Actual_FTA
6,11/1/17,TOR,DEN,OG Anunoby,5.4,6,2.59,1,1.65,2,0.74,0,0.59,2,0.38,0,0.49,2,1.52,2,1.98,2,5.17,5,0.94,0,1.24,0
6,11/1/17,TOR,DEN,CJ Miles,8.63,5,2.71,0,0.65,0,0.43,2,0.6,1,0.39,0,1.86,1,1.73,2,2.96,2,6.94,3,0.28,0,0.97,0
6,11/1/17,TOR,DEN,Kyle Lowry,17.9,9,5.01,5,6.17,4,2.38,1,1.2,1,0.38,0,2.71,1,2.52,2,5.82,4,13.71,10,0.66,2,4.21,0
6,11/1/17,TOR,DEN,Jakob Poeltl,6.42,5,5.03,6,0.42,0,0.87,0,0.54,0,0.96,0,0,0,2.45,2,2.84,2,4.72,3,1.88,2,1.29,2
6,11/1/17,DEN,TOR,Nikola Jokic,17.94,8,10.95,16,4.83,10,2.7,0,0.67,1,0.92,2,0.95,0,3.66,2,7.09,4,12.76,10,2.76,3,3.28,0
6,11/1/17,DEN,TOR,Malik Beasley,2.47,7,0.78,2,0.48,0,0.27,0,0.21,0,0,0,0.26,1,0.58,2,0.97,3,2.04,7,0.23,1,0.33,0
6,11/1/17,DEN,TOR,Will Barton,12.69,13,4.18,4,2.88,2,1.58,2,0.63,2,0.38,1,1.43,4,1.91,2,4.65,4,10.49,9,0.83,0,2.93,2
6,11/1/17,DEN,TOR,Kenneth Faried,3.6,7,3.01,1,0.37,1,0.42,0,0.27,0,0.34,0,0,0,0.87,3,1.35,3,2.47,3,1,1,1.27,2
6,11/1/17,DEN,TOR,Mason Plumlee,6.09,6,4.67,8,1.79,2,1.29,1,0.48,2,0.65,0,0,0,2.04,0,2.39,2,4.47,3,1.31,2,2.42,4
6,11/1/17,NYK,TOR,Emmanuel Mudiay,8.53,16,2.75,3,2.53,6,1.76,3,0.37,2,0.15,0,0.83,1,1.76,2,2.92,6,7.56,15,0.3,1,2.31,6
6,11/1/17,DEN,TOR,Gary Harris,16.03,15,3.04,1,2.76,2,1.68,1,1.1,0,0.15,1,2.26,3,2.48,3,5.98,6,12.27,8,0.75,0,2.36,0
6,11/1/17,DEN,TOR,Paul Millsap,15.3,20,7.18,3,2.82,4,2.16,0,0.61,2,0.73,0,0.85,3,3.11,2,5.29,6,11.9,12,1.5,1,5.13,6
6,11/1/17,DEN,TOR,Wilson Chandler,9.84,9,4.87,1,2.13,5,1.36,1,0.61,0,0.49,0,0.87,0,2.55,0,3.75,4,8.21,8,1.3,0,1.88,1
6,11/1/17,DEN,TOR,Jamal Murray,13.03,24,2.93,3,3.08,2,1.75,2,0.57,0,0.4,0,1.47,3,2.43,3,4.91,8,12.32,10,0.83,0,1.9,6
7,11/1/17,DAL,LAC,Nerlens Noel,7.92,4,6.16,4,0.81,0,1.09,0,0.65,0,0.6,0,0,0,3.18,2,3.16,1,5.5,3,1.87,2,2.13,2
7,11/1/17,DAL,LAC,Salah Mejri,0.69,1,0.97,3,0.05,1,0.11,0,0.09,0,0.1,2,0,0,0.42,0,0.28,0,0.48,0,0.31,3,0.2,2
7,11/1/17,DEN,LAC,Devin Harris,8.68,12,2.45,2,2.35,2,1.23,1,0.64,0,0.09,1,1.07,3,2.65,3,2.7,4,7,7,0.26,1,2.68,2
7,11/1/17,DAL,LAC,Wesley Matthews,11.17,11,3.75,1,2.09,4,1.42,0,1.1,0,0.18,0,2.08,2,2.77,2,3.69,4,9.47,7,0.52,0,2.09,1
7,11/1/17,DAL,LAC,Dirk Nowitzki,11.22,13,6.02,8,1.45,3,0.85,1,0.58,0,0.6,1,1.26,1,3.41,0,4.21,5,10.55,11,0.84,1,1.91,2
7,11/1/17,DAL,LAC,Harrison Barnes,16.89,14,6.47,4,1.73,2,1.26,2,0.65,2,0.14,0,1.11,1,1.78,3,6.29,6,15.49,11,1.79,0,3.98,2
7,11/1/17,DAL,LAC,Dwight Powell,6.21,0,4.09,4,0.87,1,0.43,2,0.48,2,0.36,0,0.46,0,2.33,2,2.24,0,5.29,7,1.22,1,1.67,0
7,11/1/17,DAL,LAC,Dennis Smith Jr.,13.34,18,4.74,2,3.73,2,2.14,6,0.77,1,0.36,0,0.94,2,2.91,1,5.2,6,12.71,15,1.78,0,3.07,5
7,11/1/17,DAL,LAC,J.J. Barea,11.41,2,2.84,2,4.4,3,1.93,0,0.47,0,0.06,0,1.68,0,1.77,4,4.33,0,10.52,9,0.44,0,1.4,2
7,11/1/17,DAL,LAC,Yogi Ferrell,7.08,9,1.96,4,2.4,2,1.03,2,0.78,1,0.12,0,1.05,1,2.09,3,2.31,4,5.93,12,0.37,0,1.65,0
7,11/1/17,DAL,LAC,Maxi Kleber,0.55,11,0.24,3,0.15,0,0.1,0,0.04,2,0.02,0,0.04,1,0.12,2,0.22,4,0.52,4,0.07,1,0.11,2
7,11/1/17,LAC,DAL,Danilo Gallinari,18.16,14,5.21,6,2.22,4,1.44,0,0.8,1,0.23,0,2.32,3,1.74,2,5.44,5,12.85,10,0.5,0,5.4,1
7,11/1/17,DET,DAL,Willie Reed,4.97,2,3.76,6,0.39,0,0.38,1,0.22,0,0.32,1,0.01,0,1.57,2,2.19,1,3.5,2,1.24,0,1.05,0
7,11/1/17,LAC,DAL,Austin Rivers,13.15,19,1.96,0,2.94,3,1.81,2,1.28,1,0.11,0,2.05,2,2.69,2,4.76,7,11.41,12,0.35,0,2.45,3
7,11/1/17,LAC,DAL,Lou Williams,12.91,17,1.9,4,3.04,4,1.51,1,0.81,0,0.15,0,1.62,2,0.91,0,4.1,5,9.03,8,0.23,0,3.53,5
